S1,S2,S3,S4,S5
223,122,139,114,164
224,126,142,119,167
222,126,141,118,166
223,125,141,118,165
222,125,140,117,165
218,119,136,113,161
218,120,136,113,160
218,122,138,114,160
218,123,139,116,162
213,116,132,109,156
215,118,134,104,158
217,122,138,115,160
216,122,138,116,160
215,121,137,115,160
213,119,135,114,158
213,120,136,115,159
213,120,136,115,158
212,120,136,114,157
211,119,135,114,157
209,118,132,112,155
210,118,135,114,156
402,205,252,213,291
421,218,266,221,309
437,231,279,233,323
449,243,290,242,335
460,251,298,249,345
472,259,306,257,355
482,269,315,265,365
491,276,322,270,373
498,282,327,275,378
502,287,331,278,383
504,288,332,277,384
507,292,335,280,387
510,294,337,283,390
511,296,339,283,391
519,297,338,282,391
519,296,338,281,399
511,297,337,281,391
511,296,337,280,391
519,296,337,280,390
509,294,335,277,389
510,296,336,279,390
510,296,336,278,390
510,296,335,277,389
509,295,335,277,389
509,295,334,276,388
508,295,333,276,387
508,295,333,275,387
506,292,331,272,385
505,292,330,271,384
505,292,330,271,384
506,293,329,272,385
505,293,330,271,385
505,292,330,271,384
504,292,329,271,384
503,290,327,268,382
504,292,329,270,383
503,290,328,270,383
503,291,328,268,382
502,291,328,268,381
502,290,327,267,379
499,289,326,265,377
496,287,323,262,374
492,284,320,260,371
491,283,318,259,370
490,282,317,257,368
490,279,316,256,369
492,282,318,259,370
492,282,318,259,371
493,284,320,261,372
494,283,320,261,373
494,284,320,261,373
494,284,320,261,373
494,284,320,261,373
492,282,318,259,371
492,282,318,259,371
492,282,318,258,370
491,279,317,258,369
492,283,318,260,370
491,282,318,259,370
491,282,318,259,370
491,282,317,259,369
490,282,317,259,369
489,280,315,256,367
488,279,315,256,367
489,280,315,258,369
490,281,317,259,370
489,281,316,257,368
488,281,315,257,368
487,280,314,255,366
486,279,314,256,366
487,279,314,256,366
487,287,314,256,367
488,280,315,257,367
487,280,315,257,367
487,279,314,256,366
487,287,314,256,367
487,279,314,256,367
486,279,314,256,367
487,287,314,256,366
484,277,312,252,365
485,277,312,254,365
484,278,313,255,365
485,279,313,256,366
485,278,313,255,365
484,278,312,255,364
484,278,312,254,363
483,277,312,254,363
482,277,311,253,362
480,274,309,251,360
480,274,308,251,360
479,275,309,251,360
479,275,309,252,361
487,274,308,251,360
477,273,307,250,359
473,271,304,247,356
473,270,304,246,354
474,270,303,246,355
473,268,303,245,354
474,271,304,247,355
474,270,304,255,355
474,270,304,247,355
474,271,305,248,355
474,270,304,248,355
474,270,304,247,354
474,270,304,248,355
472,268,302,246,353
473,268,302,246,353
473,268,303,247,354
474,270,304,248,354
473,270,304,247,352
473,270,304,255,354
472,270,303,246,353
472,269,303,247,353
472,269,303,247,353
470,267,301,244,352
470,267,301,245,351
471,269,302,246,352
470,268,302,246,352
470,268,302,245,351
469,268,301,244,351
469,267,300,244,350
469,267,300,245,350
469,267,301,245,351
470,268,301,245,351
469,267,301,245,351
469,267,301,244,350
468,267,300,244,350
468,266,300,244,348
468,266,300,244,349
468,266,300,244,349
467,266,299,244,348
465,263,298,242,347
466,264,297,242,347
466,265,298,242,346
466,266,299,244,348
466,265,298,243,347
470,264,298,241,347
465,265,297,243,347
465,265,298,243,346
465,264,297,243,346
464,264,297,242,346
464,264,297,243,346
464,264,297,242,346
462,263,296,241,345
461,262,295,240,343
460,261,294,239,342
459,261,293,238,342
458,260,293,238,342
460,259,292,236,340
460,261,293,239,342
459,260,294,239,342
461,261,294,240,343
459,260,293,239,342
460,261,294,240,342
461,261,294,240,343
461,261,294,240,343
461,261,294,240,343
459,260,293,240,343
460,261,293,240,342
458,261,293,239,341
458,260,293,238,340
457,260,292,237,339
458,259,292,238,340
458,260,292,238,340
457,259,292,238,340
457,259,292,237,338
456,257,290,236,338
458,259,292,239,339
458,259,292,239,340
457,259,292,238,340
457,259,292,237,339
456,258,290,237,338
456,259,291,237,338
456,258,291,237,338
455,257,290,236,337
456,258,291,237,338
456,257,291,238,339
457,258,291,238,339
457,258,291,238,339
457,259,291,238,339
456,259,291,238,337
456,258,291,238,338
456,258,291,238,338
456,258,290,236,337
455,258,290,237,337
463,257,290,237,337
454,257,290,236,337
454,257,289,236,337
454,257,289,237,336
454,257,289,237,337
453,257,289,236,337
450,252,287,234,335
452,254,287,234,334
453,256,288,234,335
451,256,288,235,335
450,254,286,233,333
448,253,285,232,332
449,253,285,233,331
449,253,285,233,332
450,254,286,233,332
448,251,284,230,330
449,253,285,233,331
450,253,285,233,331
450,254,286,233,332
450,254,286,234,333
450,254,286,234,333
450,254,286,234,332
450,254,286,234,333
450,254,286,234,332
449,251,284,223,331
450,253,286,234,332
450,254,286,234,332
450,254,286,234,332
449,253,285,233,332
448,253,285,233,331
449,253,285,233,331
449,253,285,233,331
447,251,283,231,330
448,251,283,231,330
