S1,S2,S3,S4,S5
220,230,291,82,82
219,229,290,82,82
220,230,290,102,102
219,229,289,102,102
218,228,285,101,102
217,228,287,102,102
215,226,286,102,102
216,227,284,102,102
214,225,283,101,82
212,223,281,82,82
213,224,280,102,102
213,224,280,102,102
212,224,279,102,102
211,223,278,102,102
211,222,278,102,102
210,222,277,102,102
210,221,276,102,102
207,219,274,82,82
206,217,272,82,82
206,218,272,82,82
208,220,273,102,102
407,382,492,102,102
416,393,503,95,82
427,404,515,82,82
433,411,522,98,98
447,417,529,102,102
442,421,533,102,102
444,424,536,102,102
455,426,538,102,102
447,428,539,102,102
449,429,541,102,102
448,430,539,82,82
450,430,540,102,102
451,431,541,102,102
451,432,540,102,102
452,431,541,102,102
452,431,542,102,102
452,431,541,102,102
453,433,542,102,102
452,433,542,102,102
452,433,542,102,102
453,433,541,102,102
452,433,541,102,102
452,433,541,102,102
452,433,541,102,102
452,432,540,102,102
452,433,540,102,102
453,433,541,102,102
451,432,540,83,83
450,432,539,83,83
451,432,539,98,98
451,433,539,102,102
451,432,539,102,102
451,433,539,102,102
451,432,539,102,102
451,432,538,102,102
450,432,538,102,102
449,431,536,102,102
449,439,536,102,102
449,431,536,102,102
449,431,536,102,102
448,430,535,102,102
448,431,535,102,102
447,429,534,102,102
446,428,532,102,102
444,426,531,89,98
444,427,530,82,82
442,425,531,87,87
445,428,532,102,102
444,427,531,95,102
443,427,531,102,102
442,426,529,102,102
442,425,529,102,102
441,424,525,82,82
440,423,526,83,83
440,424,527,102,102
439,424,526,102,102
439,424,526,102,102
439,424,526,102,102
439,423,526,102,102
438,431,525,102,102
438,422,525,102,102
437,421,524,102,102
437,421,523,102,102
436,419,522,102,102
435,420,522,102,102
434,419,521,102,102
433,419,520,102,101
432,419,519,102,102
433,418,511,102,102
432,418,519,102,102
430,415,517,90,90
432,417,519,102,102
431,416,518,98,98
431,416,518,102,102
430,415,518,102,101
431,416,517,102,102
431,416,517,102,102
430,423,516,102,102
430,415,516,102,102
428,414,514,82,82
428,415,515,102,102
428,414,514,102,102
427,414,514,102,102
426,413,513,102,102
426,414,513,102,102
426,413,513,102,102
425,413,513,102,102
426,411,511,101,95
424,412,511,82,82
425,412,512,101,101
424,411,510,102,102
423,411,510,102,102
422,410,509,102,102
421,409,508,102,102
421,409,507,102,102
420,409,507,102,102
419,407,505,90,90
420,408,506,102,102
419,406,505,102,102
420,407,505,102,101
420,408,505,102,102
419,407,506,102,102
420,408,505,102,102
421,408,506,102,102
421,408,507,102,102
421,408,507,83,82
422,409,507,102,102
422,409,508,102,102
423,410,508,102,102
422,409,508,102,102
422,409,507,102,102
421,409,507,102,102
420,408,506,102,102
417,406,503,95,95
418,406,511,83,82
416,405,503,95,95
416,405,511,102,102
416,405,501,101,101
416,405,502,102,101
415,403,501,82,82
416,404,501,102,102
416,403,501,102,102
415,403,500,83,83
414,402,500,83,82
414,402,500,98,98
414,403,500,102,102
415,403,500,102,102
423,403,500,102,102
423,403,500,102,102
414,403,499,102,102
414,403,499,102,102
413,401,499,83,82
414,402,500,102,102
414,402,499,102,102
414,402,499,102,102
414,402,499,102,102
413,402,498,102,101
412,401,498,102,101
413,401,498,102,102
412,401,497,96,94
414,402,499,102,101
414,402,497,94,94
413,401,498,102,101
412,401,497,102,101
412,401,497,102,102
410,400,496,102,102
410,399,496,102,102
410,399,495,102,102
409,398,494,82,82
409,398,495,102,102
411,399,496,102,102
411,400,503,102,102
412,400,497,101,102
412,401,497,102,102
412,401,497,102,102
412,401,497,102,102
413,401,498,102,102
411,400,496,82,73
411,401,496,102,102
410,400,496,102,102
410,407,495,102,102
409,399,494,102,102
407,397,493,82,82
407,397,492,102,102
406,396,492,102,102
403,393,488,94,94
403,393,489,83,82
404,394,489,112,95
404,394,489,102,102
404,394,489,102,102
405,395,490,102,102
406,395,490,102,102
406,395,490,102,102
407,395,491,102,102
406,395,490,83,83
406,395,491,83,82
406,396,491,102,102
406,396,490,102,102
405,395,489,102,102
405,395,490,102,102
405,394,489,102,102
404,394,488,102,102
404,393,489,102,102
402,392,495,82,82
403,393,488,102,102
403,392,487,102,102
404,393,487,102,102
404,392,487,102,102
404,393,487,102,102
403,393,487,101,101
404,393,487,102,102
402,390,486,93,92
403,394,488,102,102
402,392,487,95,95
404,393,488,102,102
404,393,488,102,102
403,393,487,102,102
402,393,487,102,102
402,393,487,102,102
402,393,487,102,102
402,393,495,102,102
402,393,487,102,102
401,392,486,102,102
400,392,485,102,102
399,391,485,102,102
400,390,484,102,102
399,390,484,102,102
398,390,483,102,102
397,389,481,101,104
398,389,482,82,82
399,391,482,102,101
399,390,483,102,102
399,390,483,102,102
399,390,483,102,102
399,390,483,102,102
398,390,483,102,102
398,390,482,102,102
396,388,481,83,82
396,387,480,83,82
