S1,S2,S3,S4,S5
196,229,252,219,224
198,231,253,221,226
197,230,253,221,226
198,231,253,221,226
198,239,253,221,227
199,231,254,221,226
199,232,254,222,227
199,232,254,222,227
199,232,254,222,227
197,230,253,220,225
199,232,255,223,228
200,233,255,223,228
200,233,256,224,229
201,234,257,224,230
203,236,259,226,231
218,244,272,244,238
236,258,289,261,250
241,271,295,265,254
236,264,296,265,255
238,265,295,264,256
237,265,296,263,256
370,372,433,407,354
374,378,439,404,358
378,383,445,410,363
381,386,447,413,366
383,388,449,415,366
382,389,449,415,365
383,390,449,417,366
382,388,448,416,365
382,388,448,417,366
382,389,447,416,365
381,388,455,415,364
380,386,446,415,364
379,386,445,415,362
379,385,444,414,362
378,384,443,412,361
376,391,441,410,359
376,383,441,411,358
383,382,439,411,357
376,382,441,412,358
383,382,439,411,357
374,382,439,409,356
373,381,438,409,356
373,380,437,408,355
372,379,437,408,355
371,379,435,407,354
369,376,434,407,354
369,378,435,407,352
369,377,434,406,352
369,378,435,406,352
368,377,433,405,350
368,377,432,405,350
368,376,432,403,350
367,375,431,404,350
366,374,430,402,348
366,375,431,403,349
366,375,430,402,348
365,374,429,402,347
364,373,428,401,348
363,373,427,400,347
363,373,427,401,346
362,372,426,399,346
361,369,424,397,344
360,369,424,397,345
359,369,424,397,344
361,370,424,397,344
360,369,424,397,344
359,368,423,397,343
359,369,423,396,343
359,368,422,396,342
358,368,421,395,342
356,366,420,393,341
356,366,420,393,343
356,366,419,394,342
356,367,420,393,342
357,375,420,393,341
356,367,420,394,341
356,367,420,393,341
356,366,419,393,341
355,365,419,392,340
354,365,418,392,340
354,366,418,392,340
354,365,417,392,339
354,365,417,391,339
354,365,417,392,338
353,365,417,399,339
353,364,417,390,339
353,365,416,390,339
351,362,415,389,337
350,363,414,390,337
351,363,413,388,337
349,362,412,388,336
350,363,413,388,336
351,363,413,387,337
350,362,412,387,337
350,362,412,387,336
350,361,412,387,337
348,360,410,385,335
349,360,411,386,336
348,360,410,385,335
348,360,410,385,335
347,359,410,384,335
347,359,409,384,334
347,359,409,384,335
347,360,410,384,334
347,360,408,391,333
346,358,408,383,333
346,359,408,391,335
345,359,408,382,334
345,358,408,382,334
345,358,407,382,333
345,358,415,382,333
344,358,407,381,332
344,358,407,381,332
343,356,405,380,331
343,356,406,380,331
343,356,405,380,330
344,357,406,381,331
344,357,405,381,331
343,356,405,380,331
343,357,405,380,331
342,356,405,379,331
343,356,405,380,331
342,356,405,379,331
341,356,404,379,330
341,356,403,379,330
341,356,403,378,330
341,355,403,378,330
341,355,403,378,330
341,355,403,377,330
341,355,402,377,329
340,353,402,374,326
339,353,401,376,329
339,354,402,378,329
341,356,402,378,330
342,356,403,379,331
343,355,403,379,330
342,357,404,379,331
342,356,404,379,331
341,357,403,379,332
340,355,402,377,330
340,354,401,377,329
340,355,402,377,330
340,355,402,377,330
339,354,401,377,330
339,354,401,376,330
339,354,400,375,330
338,353,400,375,329
338,354,400,376,329
338,354,400,375,330
338,354,401,375,329
339,353,400,375,329
339,354,401,376,330
339,354,400,383,329
338,354,400,375,329
338,354,399,375,329
338,354,399,370,329
336,353,398,374,328
338,353,399,374,329
337,353,399,375,329
337,353,398,374,329
337,353,398,373,329
337,353,398,374,329
337,353,398,373,328
336,353,398,374,329
337,352,398,374,329
336,353,398,373,328
336,353,397,373,328
336,352,397,373,327
336,352,397,372,328
334,351,396,372,327
343,351,396,372,327
335,351,396,372,335
335,351,396,371,327
333,349,394,369,326
333,349,394,370,325
333,350,394,370,325
334,350,395,371,327
334,350,395,370,326
333,349,395,370,326
334,349,395,370,327
333,350,394,370,327
333,350,394,370,326
332,348,393,369,325
331,349,394,369,326
333,349,394,369,326
332,348,393,369,325
332,348,393,369,326
332,349,393,368,326
332,349,393,368,325
332,349,393,368,325
331,349,393,368,326
331,349,393,368,326
331,349,393,367,324
331,348,392,367,325
331,348,392,367,325
330,349,392,375,325
330,348,392,367,325
330,348,391,367,324
331,348,392,375,325
330,347,391,366,324
330,348,392,367,324
330,347,392,367,324
330,348,391,367,324
331,347,399,366,324
330,347,399,367,324
330,348,391,367,324
330,348,399,366,324
330,347,390,365,324
329,346,390,365,323
330,347,391,366,325
329,348,391,366,324
329,347,391,366,324
329,347,391,366,324
329,347,390,366,325
329,347,390,365,324
328,347,390,365,324
327,345,389,362,321
327,345,388,363,323
327,345,389,364,323
327,346,389,364,323
328,346,389,364,323
328,346,389,364,323
328,346,389,364,323
327,346,388,364,323
327,346,388,364,323
326,345,387,363,323
327,345,387,363,323
327,345,387,363,323
327,345,388,363,323
327,345,387,363,323
327,346,387,363,322
326,344,387,363,322
326,345,387,363,322
326,344,386,362,322
326,345,387,362,322
326,345,386,360,322
325,345,387,362,323
326,345,386,361,322
326,345,387,362,323
