S1,S2,S3,S4,S5
324,280,265,295,338
323,278,264,293,335
319,275,261,290,332
317,272,258,287,329
314,270,255,285,325
312,268,253,282,323
309,266,250,281,321
307,264,249,279,320
305,263,248,277,318
302,259,244,274,314
302,260,245,274,314
300,258,243,272,311
299,258,241,272,311
297,256,240,270,309
296,255,239,269,307
294,254,238,268,307
293,253,237,267,305
291,251,235,263,302
292,251,235,265,311
289,250,233,262,301
289,250,234,263,301
482,430,429,475,509
496,443,445,488,522
511,457,460,498,534
521,467,471,509,544
530,476,481,517,555
538,484,488,524,562
543,490,495,530,568
548,493,500,534,571
551,496,503,536,575
554,499,505,538,579
555,499,507,539,579
558,502,510,542,583
559,504,519,542,584
560,504,512,543,585
561,505,513,543,586
560,505,514,544,585
562,507,514,544,586
562,507,515,544,586
562,507,514,544,585
562,508,514,551,585
561,507,513,551,585
562,508,514,543,586
564,509,515,544,588
565,509,515,544,588
564,508,515,544,588
564,509,515,545,588
564,508,515,544,589
561,507,514,543,587
564,507,514,543,587
562,506,512,542,587
563,507,513,542,587
563,506,513,541,587
562,506,512,541,586
562,506,512,540,585
562,505,511,539,586
562,505,510,539,586
561,505,510,539,584
561,506,510,539,585
561,505,510,539,584
561,504,509,538,583
561,504,508,538,591
560,504,509,537,583
560,504,508,537,591
559,504,508,537,582
559,503,508,536,581
560,504,508,537,582
558,511,507,535,580
559,503,506,535,581
559,503,506,535,581
558,502,505,534,580
557,502,505,533,580
557,501,504,532,579
556,500,511,532,579
555,498,502,531,577
555,499,503,532,577
555,499,503,531,577
555,499,502,531,578
554,498,502,531,578
555,499,502,530,578
554,498,502,530,578
554,498,502,530,578
554,497,501,529,576
551,496,499,535,575
553,498,500,529,577
553,498,501,529,576
553,498,500,529,576
553,497,500,529,576
552,497,500,528,576
552,497,499,535,575
552,497,499,528,575
559,496,498,527,574
550,503,497,526,573
550,494,497,526,573
550,495,497,526,574
550,495,497,526,573
550,495,497,526,572
550,494,497,526,573
550,494,497,526,572
549,494,497,525,573
548,493,496,523,572
549,494,496,524,572
549,493,495,524,571
549,493,495,524,571
548,492,495,523,571
548,491,494,522,570
547,491,494,522,571
546,491,493,521,570
546,490,493,520,569
546,490,493,521,569
546,489,491,520,569
546,490,493,521,569
546,491,493,520,569
546,490,493,520,570
546,490,492,520,569
546,490,492,520,569
546,490,492,520,569
545,489,490,519,568
544,489,490,519,567
544,488,490,518,568
545,488,491,527,567
544,488,490,519,567
543,488,490,518,566
543,488,489,518,566
543,488,488,517,566
543,488,488,518,566
541,486,487,516,564
551,488,489,515,566
543,488,489,518,565
542,487,488,516,564
542,487,488,517,565
542,487,488,516,564
542,487,489,517,565
551,487,489,517,566
540,486,486,515,564
541,486,487,516,565
541,485,486,516,565
542,487,488,517,566
542,495,488,517,566
542,495,488,516,566
542,487,488,516,565
542,487,488,516,566
542,486,488,516,566
540,485,487,514,564
541,485,495,515,564
540,485,486,515,563
540,485,486,514,564
540,485,486,514,564
540,485,486,514,563
540,485,486,514,563
540,485,486,514,563
539,485,486,514,562
538,483,485,513,560
539,484,485,513,561
539,483,485,514,560
538,483,485,513,560
538,482,484,512,560
538,482,484,512,560
538,482,484,512,560
537,481,484,512,560
534,480,482,510,558
535,480,482,510,559
536,480,482,510,559
537,481,483,511,560
537,481,483,512,560
537,481,484,511,560
537,482,484,511,561
537,481,484,511,561
537,481,484,511,561
536,479,482,509,567
536,480,483,511,560
537,481,483,511,559
537,481,483,511,560
536,481,482,510,559
536,482,482,510,559
536,481,482,510,559
536,481,483,510,567
536,481,483,510,560
536,481,483,510,559
535,482,483,509,558
536,481,482,510,567
535,481,482,510,558
535,481,482,510,558
535,481,482,510,559
535,481,482,509,558
535,481,481,509,567
533,479,481,508,557
533,478,480,507,557
533,479,480,507,556
534,479,481,508,557
534,479,481,508,557
534,479,480,508,556
534,478,481,507,557
533,477,480,508,556
534,478,480,508,557
532,477,487,507,556
534,479,480,508,557
533,479,480,507,557
533,479,480,508,557
533,479,480,508,557
533,479,480,507,557
533,479,480,507,557
533,478,479,507,557
532,477,478,505,555
533,479,480,507,557
532,477,480,506,556
533,478,480,507,556
533,478,480,507,557
533,478,480,506,557
532,478,480,506,557
531,478,479,506,556
532,477,487,506,556
530,476,477,505,555
532,477,479,506,556
532,477,479,506,556
532,477,479,505,556
532,477,479,506,556
533,477,487,506,556
532,477,479,506,556
532,477,479,506,556
532,477,479,505,556
531,476,477,504,554
532,477,478,505,555
532,476,478,504,555
531,476,478,505,555
531,476,477,504,554
530,476,477,504,553
530,476,477,504,554
531,476,478,504,554
530,475,477,504,553
530,475,477,504,554
530,475,477,504,553
531,476,478,504,554
530,475,477,504,554
531,476,477,504,554
531,476,477,504,554
529,475,477,504,554
530,476,477,504,554
528,474,476,502,553
528,475,476,503,553
